ID ra dec pmRA pmDEC Tmag objType typeSrc version HIP TYC UCAC TWOMASS SDSS ALLWISE GAIA APASS KIC POSflag e_pmRA e_pmDEC PMflag plx e_plx PARflag gallong gallat eclong eclat Bmag e_Bmag Vmag e_Vmag umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag Jmag e_Jmag Hmag e_Hmag Kmag e_Kmag TWOMflag prox w1mag e_w1mag w2mag e_w2mag w3mag e_w3mag w4mag e_w4mag GAIAmag e_GAIAmag e_Tmag TESSflag SPFlag Teff e_Teff logg e_logg MH e_MH rad e_rad mass e_mass rho e_rho lumclass lum e_lum d e_d ebv e_ebv numcont contratio disposition duplicate_id priority eneg_EBV epos_EBV EBVflag eneg_Mass epos_Mass eneg_Rad epos_Rad eneg_rho epos_rho eneg_logg epos_logg eneg_lum epos_lum eneg_dist epos_dist distflag eneg_Teff epos_Teff TeffFlag gaiabp e_gaiabp gaiarp e_gaiarp gaiaqflag starchareFlag VmagFlag BmagFlag splists e_RA e_Dec RA_orig Dec_orig e_RA_orig e_Dec_orig raddflag wdflag dstArcSec
15756231 61.331630057213 20.1571009815486 5.22793 -16.0768 9.4901 STAR tmgaia2 20190415 "" 1258-00338-1 551-008567 04051959+2009256 1237664090214826008 J040519.59+200925.3 51886335968692480 45841291 "" tmgaia2 0.130671 0.0480119 gaia2 9.21392 0.0593414 gaia2 172.894789670601 -23.376924434634 63.2315848300412 -0.657610515976329 11.114 0.106 10.115 0.009 14.9719 0.00947338 14.6179 0.0100416 14.1993 0.0110167 13.883 0.00989118 12.8835 0.011494 8.687 0.023 8.191 0.023 8.094 0.021 AAA-111-111-000-0-0 nan 8.044 0.022 8.071 0.021 8.023 0.024 7.611 0.163 10.0702 0.000682 0.0062 rered spect 5159.64 103.01 4.1712 0.10678 0.138706 0.0312481 1.2704 0.111726 0.873 0.105189 0.425783 0.127649 DWARF 1.0305202 0.143646 108.199 0.7 0.0653401 0.0513741 87 0.3149988 "" "" 0.0 0.0366674 0.0660808 panstarrs 0.0814357 0.128943 0.0885658 0.134886 0.102974 0.152323 0.110299 0.103261 0.102962 0.18433 0.696 0.704 bj2018 92.3601 113.66 spect 10.571 0.002133 9.444 0.001798 1 "" tycho2v3 tycho2b3 "" 2.05788980361427 0.744484731650784 61.3316540349624 20.1570317619941 0.055377243272359 0.0211428484206118 1 0 0.2601567443635426
15756236 61.331494706612 20.1488293842398 -0.206089 -4.0472 13.0924 STAR tmgaia2 20190415 "" "" 551-008566 04051955+2008558 1237664090214826010 J040519.55+200855.7 51886267249216384 45841288 "" tmgaia2 0.071357 0.0306597 gaia2 0.301179 0.0345539 gaia2 172.901235646558 -23.3827061146444 63.2298814175083 -0.665705838080185 15.284 0.103 14.337 0.206 16.9947 0.00843638 14.9896 0.00399546 15.3186 0.0129901 15.3006 0.0130417 13.4737 0.00441954 12.022 0.021 11.425 0.022 11.311 0.018 AAA-222-111-d00-0-0 nan 11.208 0.022 11.271 0.023 11.19 0.176 8.746 nan 13.8094 0.000252 0.0081 rered spect 4990.64 98.17 nan nan -0.707 0.093 7.8325 nan nan nan nan nan GIANT nan nan 2898.27 289.05 0.201289 nan "" nan "" "" nan nan nan panstarrs nan nan nan nan nan nan nan nan nan nan nan nan bj2018 nan nan spect 14.451 0.001618 13.0428 0.000999 1 "" ucac4 apassdr9 "" 1.12381420117883 0.475409583659444 61.3314937614409 20.1488119587955 0.0321572378331628 0.0132340074287128 0 0 29.53540341940672
15756226 61.3215488030384 20.166960630044 -3.27207 -25.0736 9.589 STAR tmgaia2 20190415 "" 1258-00611-1 551-008563 04051716+2010011 "" J040517.16+201000.7 51887091882936320 45841270 "" tmgaia2 0.134188 0.0465897 gaia2 2.91018 0.0605305 gaia2 172.879901434665 -23.3770105472541 63.2241767790385 -0.646125820824288 10.852 0.108 10.344 0.007 nan nan nan nan nan nan nan nan nan nan 8.94 0.029 8.757 0.02 8.676 0.02 AAA-112-111-000-0-0 nan 8.612 0.022 8.62 0.021 8.55 0.026 8.216 0.337 10.002 0.000254 0.0098 rered gaia2 6578.0 130.643 3.70127 0.0949641 nan nan 2.73374 0.129844 1.37 0.230511 0.0670576 0.016985 DWARF 12.6062279 0.7672095 340.413 7.071 0.160453 0.01099846 84 0.3505863 "" "" 0.0 0.00991002 0.0120869 panstarrs 0.166963 0.294059 0.133758 0.12593 0.0183521 0.0156179 0.100355 0.0895732 0.767227 0.767192 6.927 7.215 bj2018 100.421 160.866 dered 10.3283 0.000683 9.53665 0.000622 1 "" tycho2v3 tycho2b3 "" 2.11331100984357 0.722429441815085 61.3215337948361 20.166852674267 0.0569079484245123 0.0204355891310523 1 0 49.43356462974605
15756240 61.3098005264844 20.1393169973636 5.0408 -16.318 7.91604 STAR tmgaia2 20190415 "" 1258-00868-1 551-008561 04051434+2008214 "" J040514.35+200821.3 51884824140205824 45841253 "" tmgaia2 0.11574 0.0532392 gaia2 9.20211 0.0597723 gaia2 172.893493405581 -23.404032459532 63.2080713917744 -0.671155000183892 9.149 0.034 8.509 0.002 nan nan nan nan nan nan nan nan nan nan 7.287 0.02 6.999 0.024 6.947 0.026 AAA-111-111-000-0-0 nan 6.911 0.058 6.913 0.022 6.879 0.016 5.964 0.055 8.3561 0.000526 0.0061 rered gaia2 5873.0 221.915 3.85739 0.0879091 nan nan 2.0119 0.0966434 1.063 0.156497 0.130531 0.0326415 DWARF 4.33858633 0.4455375 108.337 0.707 0.037348 0.03866755 93 0.03336246 "" "" 0.0 0.0222373 0.0550978 panstarrs 0.123593 0.189401 0.111735 0.0815518 0.0269884 0.0382945 0.0709952 0.104823 0.320761 0.570314 0.702 0.712 bj2018 160.566 283.263 dered 8.71089 0.001588 7.87178 0.001532 1 "" tycho2v3 tycho2b3 "" 1.82282939756704 0.825530947115348 61.3098236433347 20.139246739309 0.0537544015903307 0.0231032800139576 1 0 97.5822041292506
15756217 61.3276462664103 20.1885129563223 2.9621 -1.14695 12.1285 STAR tmgaia2 20190415 "" "" 551-008564 04051863+2011187 1237664090214826009 J040518.63+201118.6 51887298041364864 45841279 "" tmgaia2 0.118917 0.0419382 gaia2 1.03259 0.0539856 gaia2 172.867152121661 -23.3580294033677 63.2339093764835 -0.626062258889583 14.543 0.011 13.454 0.149 17.1914 0.0107126 15.0282 0.00620818 15.1255 0.0136479 14.6335 0.0122782 13.2412 0.00626359 10.951 0.021 10.346 0.02 10.22 0.018 AAA-222-111-000-0-0 nan 10.155 0.023 10.231 0.021 10.147 0.073 8.462 nan 12.8917 0.000249 0.0073 rered spect 4742.29 23.3631 nan nan 0.160253 0.0218449 4.32798 nan nan nan nan nan GIANT nan nan 941.879 49.035 0.18043 nan "" nan "" "" nan nan nan panstarrs nan nan nan nan nan nan nan nan nan nan nan nan bj2018 nan nan spect 13.6031 0.001416 12.0862 0.000909 1 "" ucac4 apassdr9 "" 1.87286946690494 0.650302144146894 61.3276598547327 20.1885080180658 0.0503093780464344 0.0183887712922274 0 0 114.13666538340091
15756246 61.303226600646 20.1302342749105 6.21561 -16.1464 11.1449 STAR tmgaia2 20190415 "" "" 551-008559 04051277+2007489 "" J040512.77+200748.6 51884824140206720 45841241 "" tmgaia2 0.141816 0.0473472 gaia2 9.32367 0.0594936 gaia2 172.896049439772 -23.4147604321762 63.2002775531499 -0.678891663628223 14.061 0.045 12.571 0.092 nan nan nan nan nan nan nan nan nan nan 9.787 0.021 9.137 0.023 8.952 0.018 AAA-222-111-000-0-0 nan 8.87 0.022 8.867 0.022 8.784 0.03 8.309 0.308 12.0113 0.002122 0.0075 rered gaia2 3975.0 125.852 4.21326 0.122881 nan nan 1.01999 0.109447 0.62 0.0799909 0.584249 0.218876 DWARF 0.234012514 0.0270851 106.929 0.6855 0.012103 0.02092905 92 8.036466 "" "" 0.0 0.0087019 0.0331562 panstarrs 0.092457 0.0675248 0.0924276 0.126467 0.236823 0.20093 0.134048 0.111713 0.017715 0.0364552 0.681 0.69 bj2018 140.249 111.455 dered 12.9231 0.009041 11.0849 0.005902 1 "" ucac4 apassdr9 "" 2.23325046704854 0.734168312155321 61.303255103458 20.13016475569 0.0576372951119327 0.0205160365186008 1 0 136.15490095191743
15756261 61.337295848341 20.1032704539508 -10.6528 -17.7331 13.1801 STAR tmgaia2 20190415 "" "" 551-008569 04052094+2006118 "" J040520.94+200611.5 51884480542823680 45841297 "" tmgaia2 0.0639263 0.029025 gaia2 1.45339 0.034601 gaia2 172.94135573429 -23.4100825574331 63.2265341626174 -0.711466984037905 14.867 0.019 14.204 0.023 nan nan nan nan nan nan nan nan nan nan 12.288 0.022 11.888 0.022 11.751 0.023 AAA-222-111-000-0-0 nan 11.713 0.022 11.739 0.023 11.399 0.219 8.79 nan 13.7832 0.000223 0.0087 rered spect 5807.27 46.1559 4.2372 nan 0.118571 0.0445562 1.28514 nan 1.04 nan 0.489985 nan DWARF 1.69232333 nan 674.783 15.8775 0.195069 nan "" nan "" "" nan nan nan panstarrs nan nan nan nan nan nan nan nan nan nan nan nan bj2018 nan nan spect 14.2893 0.001481 13.1243 0.00081 1 "" ucac4 apassdr9 "" 1.00683985195614 0.450068595143826 61.3372470064068 20.1031941031115 0.0328618801571582 0.0127662711269754 1 0 194.47986633743366
15756272 61.360305319582 20.0822877136583 -9.1019 -77.2859 11.8148 STAR tmgaia2 20190415 "" "" 551-008574 04052647+2004564 "" J040526.46+200455.4 51881456885847808 45841337 "" tmgaia2 0.0875901 0.0383113 gaia2 5.86152 0.0390998 gaia2 172.974148413566 -23.4088141108782 63.2437456235872 -0.736186200978 13.786 0.06 12.837 0.092 nan nan nan nan nan nan nan nan nan nan 10.849 0.021 10.412 0.022 10.273 0.018 AAA-222-111-000-0-0 nan 10.213 0.023 10.272 0.021 10.205 0.071 8.76 nan 12.4646 0.00015 0.006 rered spect 4854.17 112.784 4.54282 0.104587 0.025 0.112 0.787839 0.073108 0.79 0.0904064 1.61553 0.507774 DWARF 0.310477048 0.04155335 169.777 1.1355 0.0809851 0.05074605 88 0.0135162324 "" "" 0.0 0.0367414 0.0647507 panstarrs 0.0765918 0.104221 0.0671176 0.0790985 0.356355 0.659192 0.119494 0.0896809 0.0332467 0.04986 1.128 1.143 bj2018 88.8269 136.741 spect 13.042 0.000845 11.7642 0.000768 1 "" ucac4 apassdr9 "" 1.37932931294046 0.594043503459603 61.3602635939454 20.0819549549244 0.0394633295995328 0.0161051305501165 1 0 285.9796036114907
15758185 61.3939393015241 20.229335260973 -0.638576 -1.69114 11.6816 STAR tmgaia2 20190415 "" "" 552-008615 04053454+2013456 1237664090214826179 J040534.54+201345.5 51893650296185088 45841398 "" tmgaia2 0.130839 0.0472613 gaia2 0.32972 0.057908 gaia2 172.881481408788 -23.2847925029382 63.3027673268063 -0.597850294005036 14.253 0.049 13.004 0.103 16.5184 0.00854612 15.8052 0.0129738 12.5473 0.00124804 12.1048 0.000846919 13.1667 0.00628746 10.432 0.021 9.816 0.022 9.621 0.018 AAA-222-111-000-0-0 nan 9.53 0.023 9.629 0.02 9.465 0.042 8.886 nan 12.4723 0.000212 0.0073 rered spect 4621.65 39.52 nan nan -0.387 0.038 15.4486 nan nan nan nan nan GIANT nan nan 2567.97 372.965 0.184377 nan "" nan "" "" nan nan nan panstarrs nan nan nan nan nan nan nan nan nan nan nan nan bj2018 nan nan spect 13.2214 0.001414 11.6412 0.000676 1 "" ucac4 apassdr9 "" 2.06075084426136 0.732847331969255 61.3939363713554 20.2293279796757 0.0548483000460987 0.020868390197439 0 0 334.72110424061697
15756278 61.3040572228555 20.0664394976813 5.27466 -4.77478 12.7656 STAR tmgaia2 20190415 "" "" 551-008560 04051296+2003592 "" J040512.97+200359.1 51884308744135296 45841243 "" tmgaia2 0.0611018 0.0273958 gaia2 0.888389 0.0343497 gaia2 172.947104607309 -23.4580743455554 63.1888566396316 -0.741660802996087 14.267 0.012 13.703 0.092 nan nan nan nan nan nan nan nan nan nan 12.001 0.022 11.657 0.02 11.567 0.023 AAA-222-111-000-0-0 nan 11.509 0.023 11.524 0.022 11.694 0.298 8.865 nan 13.3045 0.00021 0.0085 rered spect 6053.52 104.655 3.73811 0.0847303 0.185 0.029 2.37968 0.134231 1.13 0.152861 0.0838534 0.0196731 DWARF 6.85117769 0.580526 1089.49 41.055 0.19919 0.00909763 80 0.006835513 "" "" 0.0 0.00641416 0.0117811 panstarrs 0.136405 0.169317 0.12786 0.140602 0.0164512 0.022895 0.101642 0.0678186 0.529352 0.6317 39.54 42.57 bj2018 104.568 104.742 spect 13.7421 0.001153 12.7068 0.000868 1 "" ucac4 apassdr9 "" 0.962316997236593 0.424814067819652 61.3040814009172 20.0664189396022 0.0319470293522813 0.012336689972176 1 0 339.2146238274262
