period_days,e_period_days,posterior_prob,obs_date_1,obs_date_2,obs_date_3
44.1699,0.0001,0.071,21/12/2021 15:17,03/02/2022 19:22,19/03/2022 23:27
45.0033,0.0001,0.069,23/12/2021 07:17,06/02/2022 07:22,23/03/2022 07:27
45.8687,0.0001,0.066,25/12/2021 00:50,08/02/2022 21:41,26/03/2022 18:32
46.7681,0.0001,0.064,26/12/2021 20:00,11/02/2022 14:26,30/03/2022 08:52
47.7035,0.0001,0.062,28/12/2021 16:54,14/02/2022 09:47,03/04/2022 02:40
48.6770,0.0001,0.061,30/12/2021 15:38,17/02/2022 07:53,07/04/2022 00:07
49.6911,0.0001,0.059,01/01/2022 16:18,20/02/2022 08:54,11/04/2022 01:29
50.7484,0.0001,0.057,03/01/2022 19:03,23/02/2022 13:01,15/04/2022 06:59
51.8516,0.0001,0.055,06/01/2022 00:01,26/02/2022 20:27,19/04/2022 16:53
53.0039,0.0001,0.053,08/01/2022 07:19,02/03/2022 07:25,24/04/2022 07:30
54.2085,0.0001,0.051,10/01/2022 17:08,05/03/2022 22:09,29/04/2022 03:09
55.4692,0.0001,0.049,13/01/2022 05:39,09/03/2022 16:55,
56.7899,0.0001,0.047,15/01/2022 21:03,13/03/2022 16:00,
58.1750,0.0001,0.045,18/01/2022 15:32,17/03/2022 19:44,
59.6294,0.0001,0.042,21/01/2022 13:21,22/03/2022 04:27,
61.1583,0.0001,0.039,24/01/2022 14:44,26/03/2022 18:32,
62.7678,0.0001,0.037,27/01/2022 19:59,31/03/2022 14:25,
